code_store;po_no;barcode;qty;modal_karton
402808;P099250;9E+12;36;153164
402808;P099250;9E+12;240;145092
402808;P099250;9E+12;60;163636
402808;P099250;9.00E+12;240;158727
402808;P099250;9.00E+12;18;153164
402808;P099250;9.00E+12;48;235636
402808;P099250;9.00E+12;24;208909
402808;P099250;9.00E+12;120;93818
402808;P099250;9.00E+12;12;105382
402808;P099250;9.00E+12;30;176455
402808;P099250;9.00E+12;12;210545
402808;P099250;9.00E+12;36;153262
402808;P099250;9.00E+12;60;127636
402808;P099250;9.00E+12;480;186545
402808;P099250;9.00E+12;120;105382
402808;P099250;9.00E+12;36;180000
402808;P099250;9.00E+12;6;227727
402808;P099250;9.00E+12;250;114545
402808;P099250;9.00E+12;30;99818
402808;P099250;9.00E+12;18;134727
402808;P099250;9.00E+12;240;146182
402808;P099250;9.00E+12;120;190909
402808;P099250;9.00E+12;120;160909
402808;P099250;8.85E+12;4;296182
402808;P099250;8.85E+12;12;320727
402808;P099250;9.00E+12;18;323182
402808;P099250;9.00E+12;72;450000
402808;P099250;9.00E+12;24;272727
402808;P099250;9.00E+12;96;314182
402808;P099250;9.00E+12;36;670909
402808;P099250;9.00E+12;96;488727
402808;P099250;9.00E+12;36;242182
402808;P099250;9.00E+12;12;412364
402808;P099250;9.00E+12;18;338727
402808;P099250;9.00E+12;240;543928
402808;P099250;9.00E+12;36;163636
402808;P099250;9.00E+12;36;620182
402808;P099250;9.00E+12;48;375273
402808;P099250;9.00E+12;48;405818
402808;P099250;9.00E+12;48;370909
402808;P099250;9.00E+12;24;462545
402808;P099250;9.00E+12;48;318545
402808;P099250;9.00E+12;18;558000
402808;P099250;9.00E+12;96;604364
402808;P099250;9.00E+12;48;388364
402808;P099250;9.00E+12;12;376364
402808;P099250;9.00E+12;18;310091
402808;P099250;9.00E+12;36;295364
402808;P099250;9.00E+12;36;580909
402808;P099250;9.00E+12;24;462545
402808;P099250;9.00E+12;36;248727
402808;P099250;9.00E+12;24;392727
402808;P099250;9.00E+12;24;296727
402808;P099250;9.00E+12;24;417818
402808;P099250;9.00E+12;24;397091
402808;P099250;8.99E+12;12;107455
402808;P099250;9.00E+12;60;139636
402808;P099250;8.99E+12;12;107455
402808;P099250;9.00E+12;24;87273
402808;P099250;9.00E+12;60;105273
402808;P099250;9.00E+12;60;105273
402808;P099250;9.00E+12;120;111273
402808;P099250;9.00E+12;60;105273
402808;P099250;9.00E+12;60;105273
;;;;
